Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2017,06,01,12:33:3,2017,06,01,12:33:3,,Trump State Dept. Approves Stricter Vetting for Visa Seekers,"The U.S. State Department under President Trump has introduced stricter vetting procedures for all visa seekers." Found at: http://www.breitbart.com/texas/2017/06/01/trump-state-dept-approves-stricter-vetting-visa-seekers/,,,,,,,
2017,06,01,11:49:1,2017,06,01,11:49:1,,NYC Mayor Bill de Blasio Promises to Uphold Paris Climate Deal, Even If Trump Does Not,"New York City Mayor Bill de Blasio promised Wednesday to uphold the Paris climate agreement in the Big Apple." Found at: http://www.breitbart.com/big-government/2017/06/01/nyc-mayor-bill-de-blasio-promises-uphold-paris-climate-deal-even-if-trump-does-not/,,,,,,,
2017,05,30,14:44:0,2017,05,30,14:44:0,,John McCain Ramps Up Apology Tour, Knocks Trump Again in Australia,"Sen. John McCain has taken another shot at President Trump in a speech in Australia, saying he has "unsettled" Americans." Found at: http://www.breitbart.com/big-government/2017/05/30/john-mccain-ramps-up-apology-tour-knocks-trump-again-in-australia/,,,,,,,
2017,05,30,00:08:1,2017,05,30,00:08:1,,Obama Nearly Doubled Number of Juvenile Illegal Aliens Given Amnesty, Says Expert,"During his last year in office, Obama nearly doubled the number of juvenile illegal aliens who were given a pathway to permanent residence." Found at: http://www.breitbart.com/texas/2017/05/30/obama-nearly-doubled-number-juvenile-illegal-aliens-given-amnesty-says-expert/,,,,,,,
2017,05,29,19:20:4,2017,05,29,19:20:4,,'Blue Collar Golfer' John Daly Sticks Up for Pal President Trump,"The “Grip it and Rip it” guy, John Daly, ripped anti-Trump protesters, Democrats, and Hillary Clinton at a pre-tournament news conference." Found at: http://www.breitbart.com/sports/2017/05/29/blue-collar-golfer-john-daly-sticks-up-for-pal-president-trump/,,,,,,,
2017,05,29,18:58:0,2017,05,29,18:58:0,,Trump Calls Deadly Portland Attack ‘Unacceptable’,"President Trump took to Twitter Monday to condemn a deadly knife attack in Portland Friday that left two people dead." Found at: http://www.breitbart.com/big-government/2017/05/29/trump-calls-deadly-portland-attack-unacceptable/,,,,,,,
2017,05,29,14:18:1,2017,05,29,14:18:1,,Democrats to Kick-Off 'Resistance Summer' to Trump with ‘House Parties’ Featuring Keith Ellison,"While most Americans are planning their barbecues and trips to the beach, the Democrats are ramping up efforts to stop President Trump." Found at: http://www.breitbart.com/big-government/2017/05/29/democrats-to-kick-off-resistance-summer-with-house-parties-featuring-keith-ellison/,,,,,,,
2017,05,29,07:14:4,2017,05,29,07:14:4,,John McCain Says Putin a Bigger Threat Than Islamic State, Admits ‘No Evidence’ Russia Changed Election Outcome,"Sen. John McCain said in an interview that Russian President Vladimir Putin represents more of a threat to the world than Islamic State." Found at: http://www.breitbart.com/big-government/2017/05/29/mccain-says-putin-greater-threat-global-security-isis-admits-no-evidence-russia-changed-election-outcome/,,,,,,,
2017,05,28,14:02:2,2017,05,28,14:02:2,,Trump Crackdown on Illegal Aliens Forces California Farmers to Turn to Technology - Breitbart,"Since Trump restarted the enforcement of U.S. immigration law -- California farmers have been complaining about a labor shortage." Found at: http://www.breitbart.com/california/2017/05/28/trump-crackdown-forces-california-farmers-to-turn-to-technology-to-replace-illegal-workers/,,,,,,,
2017,05,28,10:02:4,2017,05,28,10:02:4,,French President Macron Brags About Trump handshake, ‘Not Innocent’,"French President Emmanuel Macron bragged to a Sunday newspaper this week that a handshake with President Trump was “not innocent”." Found at: http://www.breitbart.com/london/2017/05/28/french-president-macron-brags-squeezing-president-trumps-hand-says-not-innocent/,,,,,,,
2017,05,27,09:15:1,2017,05,27,09:15:1,,Open Borders Group: 600,000 Illegal Aliens Could Receive Amnesty,"A pro-immigration group is claiming that approximately 600,000 illegal immigrants may be eligible for a pathway to legal status." Found at: http://www.breitbart.com/texas/2017/05/27/open-borders-group-600000-illegal-aliens-could-receive-amnesty/,,,,,,,
2017,05,26,14:43:4,2017,05,26,14:43:4,,Politico: Trump 'Was an Asset, Not a Drag' for Greg Gianforte in Montana House Race,"As Democrats and media outlets pick over the bones of Thursday’s Montana Special House election, some are coming to an awkward conclusion." Found at: http://www.breitbart.com/big-government/2017/05/26/politico-trump-asset-not-drag-gianforte-montana/,,,,,,,
2017,05,26,06:46:2,2017,05,26,06:46:2,,Trump Immigration Plan Will 'Make Life As Miserable As Possible', Says Soros Group,"President Donald Trump’s plan for a merit-based immigration system has billionaire George Soros’ Open Society Foundation in hysterics." Found at: http://www.breitbart.com/texas/2017/05/26/trump-immigration-plan-will-make-life-miserable-possible-says-soros-group/,,,,,,,
2017,06,25,10:24:0,2017,06,25,10:24:0,,Lowe's, Wells Fargo Outsourcing Americans' Jobs to Cheap Foreign Workers,"Despite an American electorate fed up with the outsourcing of American jobs, corporations and tech firms are continuing to send once high-paying work overseas." Found at: http://www.breitbart.com/texas/2017/06/25/lowes-wells-fargo-outsourcing-americans-jobs-cheap-foreign-workers/,,,,,,,
2017,06,24,11:39:5,2017,06,24,11:39:5,,GOP Bill 'Drastically Increases' South Korean Foreign Worker Flow Into US,"A new piece of legislation, led by a Republican senator, would “drastically increase” the number of foreign workers coming from South Korea." Found at: http://www.breitbart.com/texas/2017/06/24/gop-bill-would-drastically-increase-south-korean-foreign-worker-flow-into-us/,,,,,,,
2017,06,24,07:41:0,2017,06,24,07:41:0,,Outsourcing Exec Shifts Gears after Panicking Over Trump's ‘America First’ Agenda,"The top executive of one of the biggest outsourcing firms has now shifted gears about President Trump’s "America First" agenda." Found at: http://www.breitbart.com/texas/2017/06/24/outsourcing-exec-shifts-gears-after-panicking-over-trumps-america-first-agenda/,,,,,,,
2017,06,23,07:40:4,2017,06,23,07:40:4,,Outsourcing Firm Infosys Discriminates in Favor of Indians, Says Lawsuit,"Infosys discriminates against whites and African-Americans while favoring Indian nationals, according to a former employee." Found at: http://www.breitbart.com/texas/2017/06/23/outsourcing-firm-infosys-discriminates-favor-indians-says-lawsuit/,,,,,,,
2017,06,22,15:12:4,2017,06,22,15:12:4,,Secretary Mattis: Trump's Otto Warmbier Comments Represent Americans' View,"Defense Secretary James Mattis said Wednesday he believed President Trump's comments on Otto Warmbier represent the American people's view." Found at: http://www.breitbart.com/national-security/2017/06/22/defense-secretary-james-mattis-trumps-comments-on-otto-warmbier-represent-americans-view/,,,,,,,
2017,06,22,13:45:0,2017,06,22,13:45:0,,WaPo Ignores That Muslim Teen Was Allegedly Killed by Illegal Alien,"The Washington Post refused to mention the illegal alien status of the man accused of beating to death a Muslim teenager." Found at: http://www.breitbart.com/texas/2017/06/22/wapo-ignores-muslim-teen-allegedly-killed-illegal-alien/,,,,,,,
2017,06,22,10:36:5,2017,06,22,10:36:5,,Trump Mocks ‘Nancy P’ and ‘Cryin’ Chuck’ as Dems Descend into Civil War in Wake of Georgia Loss,"President Trump couldn’t resist making fun of Nancy Pelosi and Chuck Schumer Thursday, urging Democrats not to kick them out." Found at: http://www.breitbart.com/big-government/2017/06/22/trump-mocks-nancy-p-cryin-chuck-dems-descend-civil-war-wake-georgia-loss/,,,,,,,
2017,06,22,08:11:0,2017,06,22,08:11:0,,Bellwether: 60 Percent of Missouri Voters Want Legal Immigration Cut,"A new poll shows widespread support for cutting legal immigration levels, where the U.S. currently takes in roughly 1.5 million yearly." Found at: http://www.breitbart.com/texas/2017/06/22/bellwether-60-percent-missouri-voters-want-legal-immigration-cut/,,,,,,,
2017,06,22,07:31:2,2017,06,22,07:31:2,,NY Times Praises Ohio Farmers Using Illegal Immigrant Workforce,"Illegal immigrant farm workers are getting more praise from The New York Times in the newspaper’s latest puff piece." Found at: http://www.breitbart.com/texas/2017/06/22/ny-times-praises-ohio-farmers-using-illegal-immigrant-workforce/,,,,,,,
2017,06,22,02:00:2,2017,06,22,02:00:2,,Travis Kalanick Could Come Back to Uber, Like Apple’s Steve Jobs - Breitbart,"Uber’s CEO Travis Kalanick was dumped, but he could make a triumphant return, like Apple’s once-fired CEO Steve Jobs." Found at: http://www.breitbart.com/california/2017/06/22/ubers-dumped-ceo-kalanick-could-come-back-like-apples-steve-jobs/,,,,,,,
2017,06,22,01:02:1,2017,06,22,01:02:1,,Judge Allows Texas Man to Legally Change His Last Name to 'Trump',"A judge granted one Texas man's request to legally change his last name to "Trump" in an homage to the president." Found at: http://www.breitbart.com/texas/2017/06/22/judge-allows-texas-man-legally-change-last-name-trump/,,,,,,,
2017,06,21,07:51:1,2017,06,21,07:51:1,,H-1B Hawks Share Mixed Feelings over Trump’s Comments with Tech CEOs,"American worker advocates who want to see the H-1B visa program reformed have mixed feelings about President Trump’s meeting with tech CEOs." Found at: http://www.breitbart.com/texas/2017/06/21/h-1b-hawks-share-mixed-feelings-trumps-comments-tech-ceos/,,,,,,,
2017,06,21,07:21:4,2017,06,21,07:21:4,,Open Borders Group Equipping Lawyers to Fight Deportations,"An organization is working to train lawyers to deal with the increased number of illegal immigrants facing deportation under President Trump." Found at: http://www.breitbart.com/texas/2017/06/21/open-borders-group-equipping-lawyers-fight-deportations/,,,,,,,
2017,06,20,18:38:3,2017,06,20,18:38:3,,UN Chief António Guterres Slams Developed Countries on Refugees, Hails Uganda’s ‘Exemplary’ Approach,"U.N. Secretary-General António Guterres, in a press conference Tuesday, scolded developed countries for not being more open to refugees." Found at: http://www.breitbart.com/national-security/2017/06/20/un-chief-antonio-guterres-slams-developed-countries-refugees-hails-ugandas-exemplary-approach/,,,,,,,
2017,06,20,07:28:2,2017,06,20,07:28:2,,Illegal Alien Accused of Murdering Muslim Teen,"A young illegal alien is accused of brutally murdering a Muslim teenager in Fairfax County, Virginia near a mosque." Found at: http://www.breitbart.com/texas/2017/06/20/illegal-alien-accused-murdering-muslim-teen/,,,,,,,
2017,06,20,07:20:4,2017,06,20,07:20:4,,Foreign Guest Workers Increasing under Trump, Say Fed Data,"President Donald Trump has seen increases in the number of foreign workers entering the U.S., according to new federal statistics." Found at: http://www.breitbart.com/texas/2017/06/20/foreign-guest-workers-increasing-trump-say-fed-data/,,,,,,,
2017,06,19,12:38:3,2017,06,19,12:38:3,,Soros Legal Alum Helps Get Illegal Alien MS-13 Member Released,"An illegal alien MS-13 gang member was released by a federal judge after two immigration attorneys lobbied for his release." Found at: http://www.breitbart.com/texas/2017/06/19/soros-legal-alum-helps-get-illegal-alien-ms-13-member-released/,,,,,,,
2017,06,17,09:33:4,2017,06,17,09:33:4,,Immigration Patriots 'Thrilled' About Trump Tossing Out DAPA,"Pro-American immigration hawks are cheering the end of DAPA as they have a new-found hope in the White House." Found at: http://www.breitbart.com/texas/2017/06/17/immigration-patriots-thrilled-about-trump-tossing-out-dapa/,,,,,,,
2017,06,17,08:28:1,2017,06,17,08:28:1,,Report: Ralph Lauren Outsourcing American Jobs to India,"Three American workers allege that American fashion house Ralph Lauren shipped their company's IT jobs from Lyndhurst, New Jersey to India." Found at: http://www.breitbart.com/texas/2017/06/17/report-ralph-lauren-outsourcing-american-jobs-to-india/,,,,,,,
2017,06,16,08:31:3,2017,06,16,08:31:3,,Ben Rhodes Lashes out at Trump Over Cuba Reversal, Claims it “Will Fail”,"Former Obama Deputy National Security Adviser Ben Rhodes is not happy with Trump’s moves to reverse Obama’s "normalization" of Cuba." Found at: http://www.breitbart.com/national-security/2017/06/16/ben-rhodes-lashes-trump-cuba-reversal-claims-will-fail/,,,,,,,
2017,06,16,06:54:2,2017,06,16,06:54:2,,Indian Lawmakers Demand Trump Reverse H-1B Crackdown,"Ahead of a meeting between with Indian Prime Minister Narendra Modi, lawmakers are demanding Trump drop his legal review of the H-1B visa." Found at: http://www.breitbart.com/texas/2017/06/16/indian-lawmakers-demand-trump-reverse-h-1b-crackdown/,,,,,,,
2017,06,15,22:53:1,2017,06,15,22:53:1,,'Let's Play Ball': 25,000 Dems and Reps Come Together to Celebrate America's Favorite Pastime in Record Turnout - Breitbart,"After a politically-motivated shooting, lawmakers and spectators in both parties came together to celebrate America's favorite pastime." Found at: http://www.breitbart.com/big-government/2017/06/15/lets-play-ball-swamp-temporarily-drains-dems-reps-come-together-25000-celebrate-americas-favorite-pastime-record-turnout/,,,,,,,
2017,06,15,13:31:4,2017,06,15,13:31:4,,Zuckerberg's Open Borders Group Celebrates DREAMer Program's 5th Anniversary,"Facebook CEO Mark Zuckerberg’s open borders organization is celebrating the fifth anniversary of an amnesty program for young illegal aliens." Found at: http://www.breitbart.com/texas/2017/06/15/zuckerbergs-open-borders-group-celebrates-dreamer-programs-5th-anniversary/,,,,,,,
2017,06,15,03:08:5,2017,06,15,03:08:5,,Outsourcing Firm Rattled by Trump 'America First' Agenda,"The prospect of Trump’s altering the U.S. legal immigration system and the H-1B visa has one of the largest outsourcing firms rattled." Found at: http://www.breitbart.com/texas/2017/06/15/outsourcing-firm-rattled-trump-america-first-agenda/,,,,,,,
2017,06,14,16:56:2,2017,06,14,16:56:2,,Democratic Leaders Nervous About Overreach as Members Push for Trump Impeachment,"As some Democrats get more serious about pushing for impeachment of President Trump, Democratic leaders are pushing back" Found at: http://www.breitbart.com/big-government/2017/06/14/democratic-leaders-nervous-about-overreach-as-members-push-for-trump-impeachment/,,,,,,,
2017,06,14,05:42:2,2017,06,14,05:42:2,,Nearly 55K Illegal Aliens Given 'Protection' under Trump, Says Fed Report,"55,000 illegal aliens were granted de facto amnesty under the Temporary Protected Status classification by President Trump’s DHS in 2017." Found at: http://www.breitbart.com/texas/2017/06/14/nearly-55k-illegal-aliens-given-protection-trump-says-fed-report/,,,,,,,
2017,06,13,18:14:2,2017,06,13,18:14:2,,U.S. Sees Drop in Travelers from 6 Majority Muslim Countries in Trump Executive Order,"The number of nonimmigrant visas issued to travelers from the six majority-Muslim countries in President Trump's immigration executive order has dropped dramatically since Trump's inauguration." Found at: http://www.breitbart.com/big-government/2017/06/13/u-s-sees-drop-in-travelers-from-6-majority-muslim-countries-in-trump-executive-order/,,,,,,,
2017,06,13,00:37:3,2017,06,13,00:37:3,,Mitt 6.0? Latest Mitt Romney Appearance Stokes Speculation of Another Run,"Mitt Romney offered lukewarm praise for President Trump over the weekend at his annual E2 summit, and stoked speculation of a run himself." Found at: http://www.breitbart.com/big-government/2017/06/13/mitt-6-0-latest-mitt-romney-appearance-stokes-speculation-another-run/,,,,,,,
2017,06,12,18:24:1,2017,06,12,18:24:1,,Woman Wearing 'Moms Demand Action' Button: Murdering President Trump On Stage is Just 'Theater' - Breitbart,"Woman Wearing 'Moms Demand Action' Button: Murdering President Trump On Stage is Just 'Theater'" Found at: http://www.breitbart.com/big-government/2017/06/12/woman-wearing-moms-demand-action-button-murdering-president-trump-stage-just-theater/,,,,,,,
2017,06,09,09:37:2,2017,06,09,09:37:2,,Sen. Kirsten Gillibrand: “If We Are Not Helping People, We Should Go the F*ck Home”,"Sen. Kirsten Gillibrand has been laying into President Trump with some choice language in recent weeks, frequently dropping the “F” bomb." Found at: http://www.breitbart.com/big-government/2017/06/09/sen-gillibrand-not-helping-people-go-fck-home/,,,,,,,
2017,07,06,10:55:4,2017,07,06,10:55:4,,MSM Reacts to Trump's Poland Speech: 'Talk of God, Country and Family Won't Go Down Well in EU!',"Colin Brazier said France and Germany might appreciate President Trump's references to art and culture, but not "Godliness, family, etc."" Found at: http://www.breitbart.com/london/2017/07/06/msm-reacts-to-trumps-poland-speech-talk-of-god-country-and-family-wont-go-down-well-in-eu/,,,,,,,
2017,07,06,08:12:0,2017,07,06,08:12:0,,Trump Shows Cuts to Chain Migration Visas in Early Months,"The Trump Administration slightly lowered the number of foreign nationals entering the United States through family chain migration visas." Found at: http://www.breitbart.com/texas/2017/07/06/trump-shows-cuts-chain-migration-visas-early-months/,,,,,,,
2017,07,06,06:55:3,2017,07,06,06:55:3,,Steve Scalise Readmitted to Intensive Care Unit in ‘Serious’ Condition,"Rep. Steve Scalise was readmitted to intensive care late Wednesday, and his condition deemed “serious,” after new concerns of an infection." Found at: http://www.breitbart.com/big-government/2017/07/06/steve-scalise-readmitted-intensive-care-unit-serious-condition/,,,,,,,
2017,07,05,15:07:5,2017,07,05,15:07:5,,Project Veritas Investigation: James O'Keefe Claims CNN Producer Doubles Down on ‘Stupid as Sh*t’ Comments in Video,"A new video released Wednesday by James O’Keefe’s Project Veritas shows a CNN associate producer doubling down on fiery remarks." Found at: http://www.breitbart.com/big-journalism/2017/07/05/project-veritas-investigation-james-okeefe-claims-cnn-producer-doubles-down-on-stupid-as-sht-comments-in-video/,,,,,,,
2017,07,05,13:57:1,2017,07,05,13:57:1,,Fashion Notes: Melania Trump Rocks Valentino To Kick Off European Tour,"The First Lady donned a pair of cropped windowpane Valentino trousers and a black knit sweater as she boarded Air Force One Wednesday." Found at: http://www.breitbart.com/big-hollywood/2017/07/05/fashion-notes-melania-trump-wears-valentino-to-kick-off-european-tour/,,,,,,,
2017,07,05,11:56:5,2017,07,05,11:56:5,,Report: Steve Bannon's Star Rising in the Trump White House,"Steve Bannon, White House chief strategist and one of the architects of Trump’s longshot victory in November, reportedly has his mojo back." Found at: http://www.breitbart.com/big-government/2017/07/05/report-steve-bannons-star-rising-trump-white-house/,,,,,,,
2017,07,05,06:27:5,2017,07,05,06:27:5,,Trump State Dept. 'Wasted' Opportunity to Halt Chain Migration, Says Expert,"Trump’s State Department “wasted” an opportunity to temporarily halt family chain migration through a foreign fiancée visa program." Found at: http://www.breitbart.com/texas/2017/07/05/trump-state-dept-wasted-opportunity-halt-chain-migration-says-expert/,,,,,,,
2017,07,05,06:22:5,2017,07,05,06:22:5,,Trump Reinstates Criminal Prosecution for First-time Border-crossers,"President Donald Trump and Attorney General Jeff Sessions reversed lax immigration prosecution measures put in place by Obama." Found at: http://www.breitbart.com/texas/2017/07/05/trump-reinstates-criminal-prosecution-first-time-border-crossers/,,,,,,,
2017,07,05,06:13:3,2017,07,05,06:13:3,,Soros-funded Group Astroturfing Travel Ban Protests,"The organization behind a protest in New York City against President Donald Trump’s travel ban is funded by left-wing financier George Soros." Found at: http://www.breitbart.com/texas/2017/07/05/soros-funded-group-astroturfing-travel-ban-protests/,,,,,,,
2017,07,05,05:55:2,2017,07,05,05:55:2,,Soros-funded Group Pressuring GOP Congressmen to Protect DREAMers,"An open borders organization funded by George Soros is set to lobby Members of Congress, demanding they shield illegal aliens." Found at: http://www.breitbart.com/texas/2017/07/05/soros-funded-group-pressuring-gop-congressmen-protect-dreamers/,,,,,,,
2017,07,04,12:51:5,2017,07,04,12:51:5,,Chicago Defender: Trump Should Not Be Able to Use Executive Orders to Erase Obama's Executive Gun Control - Breitbart,"The Chicago Defender claims President Trump shouldn't be able to use executive orders to erase gun controls Obama implemented via executive orders." Found at: http://www.breitbart.com/big-government/2017/07/04/chicago-defender-trump-should-not-be-able-use-executive-orders-erase-obamas-executive-gun-control/,,,,,,,
2017,07,04,12:44:3,2017,07,04,12:44:3,,Sanctuary Cities Vow to Make '1 Million Immigrants' Citizens to Oppose Trump - Breitbart,""Sanctuary cities" across the country are pledging to make one million immigrants into U.S. citizens this year, in response to Trump." Found at: http://www.breitbart.com/california/2017/07/04/sanctuary-cities-vow-to-make-1-million-immigrants-us-citizens-to-oppose-trump/,,,,,,,
2017,07,04,09:51:1,2017,07,04,09:51:1,,Macron: 'I Will Govern Like a Roman God',"Emmanuel Macron's proclamation of a "Jupiterian" presidency comes after officials told journalists his thoughts were "too complex" for them." Found at: http://www.breitbart.com/london/2017/07/04/macron-announces-govern-like-jupiter-roman-king-gods/,,,,,,,
2017,07,04,04:38:0,2017,07,04,04:38:0,,Illegal Immigrant Arrests Doubling under Trump,"Arrests of illegal immigrants have more than doubled in San Diego, California, under President Trump’s immigration orders." Found at: http://www.breitbart.com/texas/2017/07/04/illegal-immigrant-arrests-doubling-trump/,,,,,,,
2017,07,03,09:33:0,2017,07,03,09:33:0,,KASSAM: 'Ooh Shiny!' -- Trump's Tweets Are Using the Media's Own Alarmism Against Them,"The genius of Trump's tweets is he can't lose. If the media ignores, he has an unchallenged platform. If they take the bait, he distracts them" Found at: http://www.breitbart.com/london/2017/07/03/kassam-look-something-shiny-trumps-tweets-are-using-the-medias-own-alarmism-against-them/,,,,,,,
2017,07,02,08:53:3,2017,07,02,08:53:3,,Zuckerberg Group: We 'Hope' Trump Defends DACA Amnesty Against Lawsuits - Breitbart,"Zuckerberg Group: We 'Hope' Trump Defends DACA Amnesty Against Lawsuits" Found at: http://www.breitbart.com/texas/2017/07/02/zuckerberg-group-hope-trump-defends-daca-amnesty-lawsuits/,,,,,,,
2017,07,01,21:20:3,2017,07,01,21:20:3,,Liberal States Get Jittery as Trump Looks to Clamp Down on Voter Fraud - Breitbart,"As the Trump administration looks to clamp down on widespread reports of voter fraud and abuse, some mainly liberal states are pushing back." Found at: http://www.breitbart.com/big-government/2017/07/01/liberal-states-get-jittery-as-trump-looks-to-clamp-down-on-voter-fraud/,,,,,,,
2017,06,30,15:34:3,2017,06,30,15:34:3,,Fashion Notes: Melania Trump Is Pretty In Pink For Meeting With South Korean Leaders,"The First Lady dazzled in a $2,300 Roland Mouret pale, blush-toned sheath dress with her famous tousled hair and Christian Loboutin stilettos." Found at: http://www.breitbart.com/big-hollywood/2017/06/30/first-lady-melania-trump-is-pretty-in-pink-for-meeting-with-south-korean-leaders/,,,,,,,
2017,06,30,07:49:3,2017,06,30,07:49:3,,Trump Tears Into CNN at Fundraiser, Mulls Lawsuit: 'These Are Horrible Human Beings',"President Donald Trump ripped into CNN Wednesday, calling top members of the staff “horrible human beings."" Found at: http://www.breitbart.com/big-government/2017/06/30/trump-tears-cnn-fundraiser-mulls-lawsuit-horrible-human-beings/,,,,,,,
2017,06,30,07:25:3,2017,06,30,07:25:3,,Open Border Lawyers: Anti-Sanctuary City Bills Are 'Mean-spirited',"An open borders organization is calling a pair of House bills “mean-spirited” for going after cities that shield illegal aliens." Found at: http://www.breitbart.com/texas/2017/06/30/open-border-lawyers-anti-sanctuary-city-bills-mean-spirited/,,,,,,,
2017,06,30,05:10:2,2017,06,30,05:10:2,,Trump Tweets: Chicago Gun Crime at 'Epidemic Proportions,' 'Federal Help' on the Way - Breitbart,"President Trump tweeted on Friday morning that Chicago gun crime has reached "epidemic proportions" so he is "sending in federal help."" Found at: http://www.breitbart.com/big-government/2017/06/30/trump-tweets-chicago-gun-crime-control-federal-help-way/,,,,,,,
2017,06,29,07:02:2,2017,06,29,07:02:2,,Outsourcing Firm Infosys Takes $1M Settlement amid Visa Allegations,"One of the largest outsourcing firms reached a $1 million settlement after being accused of undercutting Americans with foreign labor." Found at: http://www.breitbart.com/texas/2017/06/29/outsourcing-firm-infosys-takes-1m-settlement-amid-visa-allegations/,,,,,,,
2017,06,28,13:38:1,2017,06,28,13:38:1,,Most Busted Name In News: NY Post Discovers CNN Kryptonite Is Lawsuit Threat,"CNN has been brought to its knees by a very fake news scandal. Now the New York Post appears to have found CNN’s Kryptonite -- the threat of a major lawsuit." Found at: http://www.breitbart.com/big-government/2017/06/28/busted-name-news-ny-post-discovers-cnn-kryptonite-lawsuit-threat/,,,,,,,
2017,06,27,16:43:5,2017,06,27,16:43:5,,Glenn Greenwald Slams ‘Reckless’ Mainstream Media in Wake of CNN Fake News Scandal,"The Intercept’s Glenn Greenwald slammed mainstream media outlets Tuesday for their “recklessness” in pushing false Russia stories." Found at: http://www.breitbart.com/big-journalism/2017/06/27/glenn-greenwald-slams-mainstream-medias-recklessness-on-russia-in-wake-of-cnn-fake-news-scandal/,,,,,,,
2017,06,27,08:33:0,2017,06,27,08:33:0,,Forgotten Americans on H-1B: 'This Is Complete Treason',"While Americans who have lost their jobs to outsourcing are willing to speak up, they remain fearfully hushed about the issue." Found at: http://www.breitbart.com/texas/2017/06/27/forgotten-americans-h-1b-complete-treason/,,,,,,,
2017,06,27,08:12:3,2017,06,27,08:12:3,,‘It Was Very Traumatic’: Americans Share H-1B, Outsourcing Stories on Camera,"As Americans gathered at the White House to demand President Trump stick to his promise of reforming the H-1B, workers spoke out." Found at: http://www.breitbart.com/texas/2017/06/27/traumatic-americans-share-h-1b-outsourcing-stories-camera/,,,,,,,
2017,06,27,08:00:1,2017,06,27,08:00:1,,Photos: Melania Trump Goes Bold In Yellow Emilio Pucci Gown,"The First Lady chose a radiant, full-length dress for a meeting with Indian Prime Minister Narendra Modi on Monday." Found at: http://www.breitbart.com/big-hollywood/2017/06/27/fashion-notes-melania-trump-goes-bold-in-yellow-emilio-pucci-gown/,,,,,,,
2017,06,26,18:25:0,2017,06,26,18:25:0,,Fox News’ Sean Hannity Calls for CNN’s Jeff Zucker to be Fired in Wake of Fake News Scandal,"Fox News host Sean Hannity called for CNN President Jeff Zucker to be fired Monday in the wake of a fake news scandal embroiling the network." Found at: http://www.breitbart.com/big-journalism/2017/06/26/fox-newss-sean-hannity-calls-for-cnns-jeff-zucker-to-be-fired-in-wake-of-fake-news-scandal/,,,,,,,
2017,06,26,12:45:3,2017,06,26,12:45:3,,Laid-off Americans Gather at White House for Indian PM Meet,"Replaced Americans due to outsourcing rallied as Trump met with Indian Prime Minister Modi, likely to discuss the H-1B visa program." Found at: http://www.breitbart.com/texas/2017/06/26/laid-off-americans-gather-white-house-indian-pm-meet/,,,,,,,
2017,06,25,14:11:0,2017,06,25,14:11:0,,Trump's Border Wall Construction Already Behind Schedule - Breitbart,"The Trump administration’s self-imposed deadline to start building prototypes for the border wall has passed." Found at: http://www.breitbart.com/california/2017/06/25/trumps-border-wall-construction-already-behind-schedule/,,,,,,,
2017,07,18,06:33:3,2017,07,18,06:33:3,,NYT Lets Obama, Bush Alums Grieve Illegal Immigration Crackdown,"The Washington political establishment is now openly expressing its rage that DHS is focusing attention on immigration." Found at: http://www.breitbart.com/texas/2017/07/18/nyt-lets-obama-bush-alums-grieve-illegal-immigration-crackdown/,,,,,,,
2017,07,17,22:05:4,2017,07,17,22:05:4,,Poll Shows Support for President Trump's Policies - Breitbart,"A poll by a conservative Super PAC shows broad support for President Trump's policies, a counter point to recent polls that show low job approval ratings." Found at: http://www.breitbart.com/big-government/2017/07/17/poll-shows-support-for-president-trumps-policies/,,,,,,,
2017,07,17,13:15:0,2017,07,17,13:15:0,,Pro-Trump and Anti-Trump Forces Clash on Hollywood Walk of Fame - Breitbart,"Violence erupted Saturday as Trump supporters and anti-Trump demonstrators clashed near President Trump's star on the Hollywood Walk of Fame." Found at: http://www.breitbart.com/california/2017/07/17/violence-pro-trump-anti-trump-forces-clash-hollywood-walk-fame/,,,,,,,
2017,07,16,06:29:2,2017,07,16,06:29:2,,Republican Congress Putting Pork Back in Trump’s Budget - Breitbart,"The U.S. House Appropriations Committee continues to restore pork to President Trump’s proposed 2018 budget." Found at: http://www.breitbart.com/california/2017/07/16/republican-congress-putting-pork-back-in-trumps-budget/,,,,,,,
2017,07,15,17:50:4,2017,07,15,17:50:4,,Democrats Spooked by Drop in Colorado Voter Registration Amid Trump Probe Into Voter Fraud,"Democrats are apparently spooked by a sudden drop in voter registrations in the key swing state of Colorado." Found at: http://www.breitbart.com/big-government/2017/07/15/democrats-spooked-by-drop-in-colorado-voter-registration-amid-trump-probe-into-voter-fraud/,,,,,,,
2017,07,15,02:00:2,2017,07,15,02:00:2,,OC Sheriff: California's 'Sanctuary State' Bill Is About 'Sticking it to Trump' - Breitbart,"A California Sheriff said this week that the Democrat-sponsored "sanctuary state" bill is "all about sticking it to Trump.”" Found at: http://www.breitbart.com/california/2017/07/15/for-dems-sanctuary-state-law-isnt-about-public-safety-its-just-about-sticking-it-to-trump/,,,,,,,
